ngram,monogram_delta_mean,monogram_delta_median,bigram_delta_mean,bigram_delta_median
"""ol""",-1,-1,1989.0,1989.0
"""se""",-1,-1,3232.5,3232.5
"""ca""",-1,-1,4508.0,4508
"""an""",-1,-1,3011.0,2896.0
"""i """,-1,-1,5729.888888888889,2810
"""sk""",-1,-1,2919.0,2919
"""ka""",-1,-1,2944.0,2944
"""ay""",-1,-1,2840.0,2840.0
"""yt""",-1,-1,3497.0,3497
"""od""",-1,-1,4232.0,4232
"""da""",-1,-1,1968.0,1968
""" m""",-1,-1,2387.75,2296.0
"""hm""",-1,-1,2750.0,2750
"""tl""",-1,-1,1939.0,1939.0
"""lh""",-1,-1,2638.3333333333335,2282
"""af""",-1,-1,1433.0,1433
"""ft""",-1,-1,2936.0,2936
"""t\n""",-1,-1,3489.0,3489.0
"""\nt""",-1,-1,3359.0,3359
"""ge""",-1,-1,2559.0,2559
"""wl""",-1,-1,2095.5,2095.5
"""hy""",-1,-1,4521.0,4521
""" k""",-1,-1,6330.0,6330
"""ki""",-1,-1,7599.0,7599
"""ds""",-1,-1,2432.0,2432
"""u """,-1,-1,3145.0,3145
"""\n """,-1,-1,1721.6666666666667,1397.0
"""lr""",-1,-1,3112.0,3112
"""mo""",-1,-1,5248.0,5248
"""ie""",-1,-1,3497.4,3528
"""ab""",-1,-1,2506.0,2506
"""bo""",-1,-1,2600.0,2600
"""a """,-1,-1,1979.0833333333333,1972.5
""" n""",-1,-1,3312.0,3312
"""nu""",-1,-1,4279.0,4279
"""ty""",-1,-1,3391.5,3391.5
"""of""",-1,-1,2164.5,2164.5
"""es""",-1,-1,2352.0,2352
"""ss""",-1,-1,6075.5,6075.5
"""so""",-1,-1,3916.5,3916.5
"""iv""",-1,-1,2194.0,2194
"""nf""",-1,-1,2559.0,2559
"""f\n""",-1,-1,2530.25,2896.0
"""sy""",-1,-1,4129.0,4129
"""do""",-1,-1,5262.5,5262.5
"""ub""",-1,-1,2840.6666666666665,2641
""" d""",-1,-1,1688.0,1688
"""oi""",-1,-1,1728.0,1728
"""tr""",-1,-1,2496.0,2496
"""rl""",-1,-1,1985.0,1985
"""ni""",-1,-1,12645.4,15213
"""i\n""",-1,-1,1657.8,1587
"""ia""",-1,-1,-105817.75,-115050.0
"""am""",-1,-1,2028.0,2028.0
"""ja""",-1,-1,2440.0,2440.0
"""ck""",-1,-1,5178.0,5178.0
"""tw""",-1,-1,11468.0,11468
"""nt""",-1,-1,2968.0,2968
"""\nw""",-1,-1,3064.0,3064.0
"""n\n""",-1,-1,3812.0,3960.0
"""gr""",-1,-1,3984.0,3984
"""oc""",-1,-1,2081.0,2081
"""cc""",-1,-1,3304.0,3304
"""oa""",-1,-1,4275.0,4394.0
"""gl""",-1,-1,6966.0,6966
""" q""",-1,-1,2216.0,2216
"""qu""",-1,-1,2777.0,2777
"""ua""",-1,-1,2424.0,2424
"""rt""",-1,-1,2057.0,2057
"""f """,-1,-1,1705.0,1705
""" c""",-1,-1,1640.0,1640
"""\nu""",-1,-1,2143.0,2143
"""ul""",-1,-1,1953.0,1953
"""al""",-1,-1,2690.0,2690.0
"""iu""",-1,-1,2270.0,2270.0
"""um""",-1,-1,2519.0,2519.0
"""c\n""",-1,-1,3552.0,3552.0
"""\nn""",-1,-1,3793.0,3793.0
"""ii""",-1,-1,4114.0,4114.0
"""hi""",-1,-1,1759.0,1759
"""ig""",-1,-1,2024.0,2024
"""\nr""",-1,-1,2456.0,2456
